Text	Pronoun	Pronoun-offset	A	A-offset
Ms. Bick , the NIH administrator , says the business and scientific community is overreacting to what the agency merely meant to be `` ideas for discussion . '' The predictions of doom are `` premature , '' she says .	she	10	Bick	2
Fans of Anthony Andrews -LRB- `` Brideshead Revisited '' -RRB- will relish watching him play the title role -LRB- s -RRB- in the 19th-century Robert Louis Stevenson pre-Freudian drama of schizoid horror .	him	14	Anthony Andrews	3
At that time , Sam Merksamer , president of the chain , angrily denied that his company was about to file .	his	16	Sam Merksamer	5
But everything is relative to Mr. Terrizzi , so stocks in his view can become more attractive in comparison with bonds or T-bills , even if shares are more expensive than when they were sold in January . `` Our -LCB- computer -RCB- model has a certain trigger point , '' he said .	he	14	Terrizzi	7
But everything is relative to Mr. Terrizzi , so stocks in his view can become more attractive in comparison with bonds or T-bills , even if shares are more expensive than when they were sold in January .	his	12	Terrizzi	7
Qintex Entertainment also said Chief Financial Officer and Treasurer Jonathan Lloyd , 37 years old , would join the nine-member board . He succeeds Roger Kimmel , who resigned last week saying his participation in evaluating the company 's role in buying MGM\/UA Communications Co. was no longer necessary .	He	1	Jonathan Lloyd	10
He succeeds Roger Kimmel , who resigned last week saying his participation in evaluating the company 's role in buying MGM\/UA Communications Co. was no longer necessary .	his	11	Roger Kimmel	3
But early on Oct. 19 , the second of two hectic days of board meetings , Mr. Evans said he believed Qintex Australia would n't be forthcoming . But a majority of the board , which includes three members from the Australian company , overrode him .	him	18	Evans	18
But early on Oct. 19 , the second of two hectic days of board meetings , Mr. Evans said he believed Qintex Australia would n't be forthcoming . He recommended that the company file for protection under Chapter 11 of the U.S. Bankruptcy Code before the MCA deadline , according to a source familiar with the sessions .	He	1	Evans	18
But early on Oct. 19 , the second of two hectic days of board meetings , Mr. Evans said he believed Qintex Australia would n't be forthcoming .	he	20	Evans	18
Mr. Evans told the board he needed the weekend to think about it .	he	6	Evans	2
On top of this , the traveler who converts his dollars into foreign currency before the trip starts will lose interest from the day of conversion .	his	10	the traveler who converts his dollars into foreign currency before the trip starts	6
The card holder will pay the modest 1 % fee only on the amounts actually needed . Typically , he will be billed only several weeks after the expenditure , and then has another couple of weeks before he has to pay the bill .	he	22	The card holder	1
The card holder will pay the modest 1 % fee only on the amounts actually needed . Typically , he will be billed only several weeks after the expenditure , and then has another couple of weeks before he has to pay the bill .	he	3	The card holder	1
The luxury airline and casino company , 98.6%-owned by investor Kirk Kerkorian and his Tracinda Corp. , earlier this month announced its agreements to acquire the properties , but did n't disclose the purchase price .	his	14	Kirk Kerkorian	11
`` That 's really where the leverage hurt , '' says Thomas Herzfeld , a Miami-based investment manager who specializes in closed-end funds . `` Share prices performed even worse than the funds ' asset values because fear has taken hold '' in the junk market , he says .	he	24	Thomas Herzfeld	12
Carl Ericson , who runs the Colonial Intermediate High Income Fund , says the fund 's 25 % leverage has jacked up its interest income . `` As long as I am borrowing at 9.9 % and each -LCB- bond -RCB- yields over that , it enhances the yield , '' he maintains .	he	26	Carl Ericson	1
Mr. Ericson says he tries to offset the leverage by diversifying the fund 's portfolio .	he	4	Ericson	2
`` We are trying to increase our flexibility , '' says Ellen E. Terry , a vice president at Ostrander Capital Management , the fund 's investment adviser . She declined to elaborate and would n't disclose the fund 's recent purchases , sales or cash position .	She	1	Ellen E. Terry	12
Ms. Terry did say the fund 's recent performance `` illustrates what happens in a leveraged product '' when the market does n't cooperate . `` When the market turns around , '' she says , `` it will give a nice picture '' of how leverage can help performance .	she	9	Terry	2
Prospect Street High Income Portfolio , for instance , now holds about 15 % in cash and equivalents , nearly quintuple the amount it held earlier this year , says John Frabotta , portfolio co-manager . He says the fund , which is 40 % leveraged , has maintained a `` substantial cushion '' between its borrowing costs and the yields of the portfolio 's bonds .	He	1	John Frabotta	31
At the 50%-leveraged Zenith Income Fund , portfolio manager John Bianchi recently dumped Mesa Petroleum , Wickes and Horsehead Industries , among others , to raise his cash position to a record 15 % .	his	27	John Bianchi	10
`` That 's a problem because cash is n't earning us very much money , '' Mr. Bianchi says . He concedes : `` This is the most difficult market that I 've been involved in . ''	He	1	Bianchi	18
One of the more bizarre garden stories since Eden has been unfolding for four years now , in the private paper-and-crayon fantasies of artist Jennifer Bartlett . And if she and the Battery Park City Authority have their way , her horticulturally inept plan will soon go public as a real garden `` artwork '' in the downtown complex .	her	14	Jennifer Bartlett	25
One of the more bizarre garden stories since Eden has been unfolding for four years now , in the private paper-and-crayon fantasies of artist Jennifer Bartlett . And if she and the Battery Park City Authority have their way , her horticulturally inept plan will soon go public as a real garden `` artwork '' in the downtown complex .	she	3	Jennifer Bartlett	25
Created by an artist who flaunts her ignorance of plants and gardens , South Gardens , as now planned , will die from congestive garden design .	her	7	an artist who flaunts her ignorance of plants and gardens	3
Ms. Bartlett 's previous work , which earned her an international reputation in the non-horticultural art world , often took gardens as its nominal subject . Mayhap this metaphorical connection made the BPC Fine Arts Committee think she had a literal green thumb .	she	12	Bartlett	2
Ms. Bartlett 's previous work , which earned her an international reputation in the non-horticultural art world , often took gardens as its nominal subject .	her	9	Bartlett	2
-LRB- Ms. Bartlett would not discuss her garden for this article . -RRB- And she proved no shirking violet in her initial statement to the BPCA , a New York State public benefit corporation : `` The only thing I was interested in doing was a very complicated garden , which would cost an enormous amount of money and be very expensive to maintain . ''	her	8	Bartlett	3
-LRB- Ms. Bartlett would not discuss her garden for this article . -RRB- And she proved no shirking violet in her initial statement to the BPCA , a New York State public benefit corporation : `` The only thing I was interested in doing was a very complicated garden , which would cost an enormous amount of money and be very expensive to maintain . ''	she	2	Bartlett	3
-LRB- Ms. Bartlett would not discuss her garden for this article . -RRB- Last year she boasted to HG magazine : `` I 'd never looked at a garden in my life . ''	she	3	Bartlett	3
-LRB- Ms. Bartlett would not discuss her garden for this article . -RRB-	her	7	Bartlett	3
Undeterred , the BPCA hired Ms. Bartlett and another confessed garden ignoramus , the architect Alexander Cooper , who claimed he had never visited , much less built , a garden , and said of the project , `` I do n't view this as a landscape .	he	21	Alexander Cooper	16
After four years , though , the South Gardens design is 100 % uncollaborated Jennifer Bartlett . She has done little more than recycle her standard motifs -- trees , water , landscape fragments , rudimentary square houses , circles , triangles , rectangles -- and fit them into a grid , as if she were making one of her gridded two-dimensional works for a gallery wall .	her	43	Jennifer Bartlett	15
After four years , though , the South Gardens design is 100 % uncollaborated Jennifer Bartlett . She has done little more than recycle her standard motifs -- trees , water , landscape fragments , rudimentary square houses , circles , triangles , rectangles -- and fit them into a grid , as if she were making one of her gridded two-dimensional works for a gallery wall .	she	38	Jennifer Bartlett	15
After four years , though , the South Gardens design is 100 % uncollaborated Jennifer Bartlett . She has done little more than recycle her standard motifs -- trees , water , landscape fragments , rudimentary square houses , circles , triangles , rectangles -- and fit them into a grid , as if she were making one of her gridded two-dimensional works for a gallery wall .	her	8	Jennifer Bartlett	15
After four years , though , the South Gardens design is 100 % uncollaborated Jennifer Bartlett . She has done little more than recycle her standard motifs -- trees , water , landscape fragments , rudimentary square houses , circles , triangles , rectangles -- and fit them into a grid , as if she were making one of her gridded two-dimensional works for a gallery wall .	She	1	Jennifer Bartlett	15
All the while , Ms. Bartlett had been busy at her assignment , serene in her sense of self-tilth . And she further stunned her listeners by revealing her secret garden design method : Commissioning a friend to spend `` five or six thousand dollars ... on books that I ultimately cut up . ''	her	9	Bartlett	6
All the while , Ms. Bartlett had been busy at her assignment , serene in her sense of self-tilth . And she further stunned her listeners by revealing her secret garden design method : Commissioning a friend to spend `` five or six thousand dollars ... on books that I ultimately cut up . ''	her	5	Bartlett	6
All the while , Ms. Bartlett had been busy at her assignment , serene in her sense of self-tilth . And she further stunned her listeners by revealing her secret garden design method : Commissioning a friend to spend `` five or six thousand dollars ... on books that I ultimately cut up . ''	she	2	Bartlett	6
All the while , Ms. Bartlett had been busy at her assignment , serene in her sense of self-tilth . Moreover , she proclaimed that `` landscape architects have been going wrong for the last 20 years '' in the design of open space .	she	3	Bartlett	6
All the while , Ms. Bartlett had been busy at her assignment , serene in her sense of self-tilth . As she put it in a 1987 lecture at the Harvard Graduate School of Design : `` I have designed a garden , not knowing the difference between a rhododendron and a tulip . ''	she	2	Bartlett	6
All the while , Ms. Bartlett had been busy at her assignment , serene in her sense of self-tilth .	her	16	Bartlett	6
All the while , Ms. Bartlett had been busy at her assignment , serene in her sense of self-tilth .	her	11	Bartlett	6
Ms. Bartlett told her audience that she absolutely did not believe in compromise or in giving in to the client `` because I do n't think you can do watered-down versions of things . ''	she	7	Bartlett	2
Ms. Bartlett told her audience that she absolutely did not believe in compromise or in giving in to the client `` because I do n't think you can do watered-down versions of things . ''	her	4	Bartlett	2
This mincemeat of tiny gridlocked squares was inspired by the artist 's own digs : `` My loft was 50 by 100 feet , so 50 feet by 50 feet seemed like a good garden room . '' Next door she put a smaller plaid-floored glass house , where , she suggested , a flat of strawberries might be displayed in the dead of winter .	she	13	the artist	10
This mincemeat of tiny gridlocked squares was inspired by the artist 's own digs : `` My loft was 50 by 100 feet , so 50 feet by 50 feet seemed like a good garden room . '' Next door she put a smaller plaid-floored glass house , where , she suggested , a flat of strawberries might be displayed in the dead of winter .	she	3	the artist	10
This mincemeat of tiny gridlocked squares was inspired by the artist 's own digs : `` My loft was 50 by 100 feet , so 50 feet by 50 feet seemed like a good garden room . '' In one garden roomette she implanted a 43-foot square glass cube meant to show off a plaid tile floor conceit , a `` zinc sink , '' a `` huge fishbowl with carp '' and a `` birdcage with cockatoos . ''	she	5	the artist	10
This mincemeat of tiny gridlocked squares was inspired by the artist 's own digs : `` My loft was 50 by 100 feet , so 50 feet by 50 feet seemed like a good garden room . '' She ordered the foyer done in a different plaid planting , and made the landscape architects study a book on tartans .	She	1	the artist	10
This mincemeat of tiny gridlocked squares was inspired by the artist 's own digs : `` My loft was 50 by 100 feet , so 50 feet by 50 feet seemed like a good garden room . '' In the herbal lounge she specified a `` plaid knot garden '' decor .	she	5	the artist	10
This mincemeat of tiny gridlocked squares was inspired by the artist 's own digs : `` My loft was 50 by 100 feet , so 50 feet by 50 feet seemed like a good garden room . '' Another she stuffed with eight `` rectilinear hedges '' for a topiary geometry lesson in the right-angling of plants .	she	2	the artist	10
This mincemeat of tiny gridlocked squares was inspired by the artist 's own digs : `` My loft was 50 by 100 feet , so 50 feet by 50 feet seemed like a good garden room . '' In another , she requisitioned topiary MX missile cones -- costing $ 10,000 each -- in heights up to 20 feet .	she	4	the artist	10
This mincemeat of tiny gridlocked squares was inspired by the artist 's own digs : `` My loft was 50 by 100 feet , so 50 feet by 50 feet seemed like a good garden room . '' One she made into a topiary rec room , replete with plants shaped into a Barcalounger , TV , piano and chairs .	she	2	the artist	10
Ms. Bartlett blithely suggested calling upon `` semi-skilled garden club workers for maintenance . '' Furthermore , she had insisted on paths so narrow -LRB- five to eight feet -RRB- and hedge corners so square that standard maintenance equipment -- trucks or cherry pickers -- could n't maneuver .	she	3	Bartlett	2
Then , to make these gardenettes quite literally rooms , Ms. Bartlett had thrown up windowless walls -LRB- brick , lattice , hedge -RRB- eight to 10 feet tall , casting her interiors into day-long Stygian shade .	her	32	Bartlett	12
Finally , flouting the BPCA 's wishes to continue the popular two-mile riverside Esplanade , prized for its expansive views of New York Harbor , the Statue of Liberty and Ellis Island , Ms. Bartlett threw up yet another wall , this time concrete , this time 10 1\/2 feet tall . -LRB- Within her garden , she has decreed a waterfall , a rill , ponds and other costly , trivial waterworks beside the Hudson . -RRB-	she	6	Bartlett	35
Finally , flouting the BPCA 's wishes to continue the popular two-mile riverside Esplanade , prized for its expansive views of New York Harbor , the Statue of Liberty and Ellis Island , Ms. Bartlett threw up yet another wall , this time concrete , this time 10 1\/2 feet tall . -LRB- Within her garden , she has decreed a waterfall , a rill , ponds and other costly , trivial waterworks beside the Hudson . -RRB-	her	3	Bartlett	35
Finally , flouting the BPCA 's wishes to continue the popular two-mile riverside Esplanade , prized for its expansive views of New York Harbor , the Statue of Liberty and Ellis Island , Ms. Bartlett threw up yet another wall , this time concrete , this time 10 1\/2 feet tall . She ran it the length of the South Gardens riverfront , blotting out the city 's great natural water features , the harbor and the river .	She	1	Bartlett	35
Lynden B. Miller , the noted public garden designer who restored Central Park 's Conservatory Garden , recalls her reaction to the South Gardens model in light of the public garden she was designing for 42nd Street 's Bryant Park : `` Bryant Park , as designed in 1933 , failed as a public space , because it made people feel trapped .	she	32	Lynden B. Miller	1
Lynden B. Miller , the noted public garden designer who restored Central Park 's Conservatory Garden , recalls her reaction to the South Gardens model in light of the public garden she was designing for 42nd Street 's Bryant Park : `` Bryant Park , as designed in 1933 , failed as a public space , because it made people feel trapped .	her	19	Lynden B. Miller	1
BPCA President and CEO David Emil hopes to negotiate a seawall that could `` be significantly more visually permeable . '' And by substituting yet another landscape architect , Nicholas Quennell , he insists he can achieve that and other accommodations to gardening reality while still preserving the `` artistic vision '' of a `` truly great artist . ''	he	14	David Emil	5
BPCA President and CEO David Emil hopes to negotiate a seawall that could `` be significantly more visually permeable . '' And by substituting yet another landscape architect , Nicholas Quennell , he insists he can achieve that and other accommodations to gardening reality while still preserving the `` artistic vision '' of a `` truly great artist . ''	he	12	David Emil	5
-LRB- Mr. Quennell has said he plans to go with the grid , regardless . -RRB-	he	6	Quennell	3
These statesmen might take counsel from William Robinson , author of `` The English Flower Garden '' -- the gardener 's bible since 1883 -- who seems to have had a Jennifer Bartlett in mind when he wrote : `` Unhappily , our gardeners for ages have suffered at the hands of the decorative artist when applying his ` designs ' to the garden ... .	he	37	William Robinson	7
These statesmen might take counsel from William Robinson , author of `` The English Flower Garden '' -- the gardener 's bible since 1883 -- who seems to have had a Jennifer Bartlett in mind when he wrote : `` Unhappily , our gardeners for ages have suffered at the hands of the decorative artist when applying his ` designs ' to the garden ... .	his	58	the decorative artist	53
Mr. Angell is incorrect when he states that the Soviet Union 's large gold reserves would give it `` great power to establish credibility . ''	he	6	Angell	2
Securities and Exchange Commission Chairman Richard Breeden told a congressional subcommittee that he would consider imposing `` circuit breakers '' to halt program trading at volatile times .	he	13	Richard Breeden	6
Mr. Breeden , in his first testimony to Congress since taking the SEC post , said the agency is studying the Friday the 13th market plunge , including how current circuit breakers affected the market that day and the following Monday . After the study , the SEC would be willing to consider adding new circuit breakers or fine-tuning the current ones , he added .	he	22	Breeden	2
Mr. Breeden , in his first testimony to Congress since taking the SEC post , said the agency is studying the Friday the 13th market plunge , including how current circuit breakers affected the market that day and the following Monday .	his	5	Breeden	2
Rep. Edward Markey -LRB- D. , Mass. -RRB- , chairman of the House Telecommunications and Finance Subcommittee , is pushing the idea of a circuit breaker for computer-driven program trading in hopes that would curb `` turmoil '' in the marketplace . He argued that program-trading by roughly 15 big institutions is pushing around the markets and scaring individual investors .	He	1	Edward Markey	2
Mr. Breeden did n't reject the proposal . After the SEC study of the drop is completed , he said , `` I 'm perfectly happy to work with this committee ... in identifying whether we need other devices , '' such as a program-trading curb .	he	11	Breeden	2
Mr. Breeden contended that uncertainty over when the SEC might act could worsen volatility in the markets . He argued that the current circuit-breaker system allows investors to know `` precisely when and where any trading interruptions will occur and how long they will last . ''	He	1	Breeden	2
Mr. Breeden offered strong support for two other provisions in the bill . That information , he argued , is critical to reconstructing sharp market moves , such as the one nearly two weeks ago .	he	4	Breeden	2
Mr. Breeden offered strong support for two other provisions in the bill . He also backed a rule to require large traders to report transactions on a systematic basis .	He	1	Breeden	2
Nevertheless , Oregon Sen. Bob Packwood , the ranking GOP member on the tax-writing Senate Finance Committee , last night introduced his plan as an amendment to a pending measure authorizing U.S. aid for Poland and Hungary .	his	22	Bob Packwood	5
Senate Majority Leader George Mitchell -LRB- D. , Maine -RRB- was confident he had enough votes to block the maneuver on procedural grounds , perhaps as soon as today .	he	13	George Mitchell	4
Their tone was good-natured , with Mr. Packwood saying he intended to offer the proposal again and again on future legislation and Sen. Mitchell saying he intended to use procedural means to block it again and again .	he	10	Packwood	8
Their tone was good-natured , with Mr. Packwood saying he intended to offer the proposal again and again on future legislation and Sen. Mitchell saying he intended to use procedural means to block it again and again .	he	26	Mitchell	24
`` There is a one-out-of-three shot of getting it this year , '' said Sen. David Boren of Oklahoma , a leading Democratic proponent of cutting the capital-gains tax . He called the battle `` uphill . ''	He	1	David Boren	16
Mr. Mitchell has made clear to his wavering colleagues that the issue is important to him personally .	him	16	Mitchell	2
Mr. Mitchell has made clear to his wavering colleagues that the issue is important to him personally .	his	7	Mitchell	2
Francoise Verne , 52-year-old former deputy director of France 's mint , faces prison for her theft of some 67 rare coins from the mint 's collections .	her	16	Francoise Verne	1
Second in command from 1979 to 1984 , Mrs. Verne told a Paris court that the `` great disorder '' that reigned at the agency led her into temptation .	her	27	Verne	10
Representatives of the Inuit and Cree peoples living in Quebec and Labrador in northeastern Canada told the ministry of the planned action at a meeting , a ministry spokesman said . They also wanted to prevent a NATO training base being built in the region , he said .	he	16	a ministry spokesman	27
Stephen A. Wynn , who owns 29.4 % of Golden Nugget 's shares , says the Mirage and other projects will help Las Vegas attract a whole new generation of visitors . `` If you create a wonderment , if you create something so exciting that the public dreams of being part of it , then they 'll come , '' he says .	he	30	Stephen A. Wynn	1
This is no place for pedestrians , but at 7:30 on a recent morning , when construction choked traffic at the famous Four Corners intersection to one lane , a taxi passenger found it faster to abandon the cab and walk to her destination .	her	43	a taxi passenger	30
Any hotel-casino without a strong identity will get whacked by the new competition , says Glenn Schaeffer , senior vice president of Circus Circus . `` If you do n't know what you are , bigger wo n't make you better , '' he says .	he	19	Glenn Schaeffer	16
`` More rooms are n't the answer for us , '' says Caesars World chairman Henry Gluck . While his company 's hotel is building a retail complex in Beverly Hills style and redoing existing rooms , it has decreased the number of its rooms .	his	2	Henry Gluck	16
Every Bill which shall have passed the House of Representatives and the Senate , shall , before it becomes a Law , be presented to the President of the United States ; If he approve he shall sign it , but if not he shall return it , with his Objections to that House in which it shall have originated , who shall enter the Objections at large on their Journal , and proceed to reconsider it .	his	50	the President of the United States	26
Every Bill which shall have passed the House of Representatives and the Senate , shall , before it becomes a Law , be presented to the President of the United States ; If he approve he shall sign it , but if not he shall return it , with his Objections to that House in which it shall have originated , who shall enter the Objections at large on their Journal , and proceed to reconsider it .	he	44	the President of the United States	26
Every Bill which shall have passed the House of Representatives and the Senate , shall , before it becomes a Law , be presented to the President of the United States ; If he approve he shall sign it , but if not he shall return it , with his Objections to that House in which it shall have originated , who shall enter the Objections at large on their Journal , and proceed to reconsider it .	he	36	the President of the United States	26
Every Bill which shall have passed the House of Representatives and the Senate , shall , before it becomes a Law , be presented to the President of the United States ; If he approve he shall sign it , but if not he shall return it , with his Objections to that House in which it shall have originated , who shall enter the Objections at large on their Journal , and proceed to reconsider it .	he	34	the President of the United States	26
Every Order , Resolution , or Vote to which the Concurrence of the Senate and House of Representatives may be necessary -LRB- except on a question of Adjournment -RRB- shall be presented to the President of the United States ; and before the Same shall take Effect , shall be approved by him , or being disapproved by him , shall be repassed by two thirds of the Senate and House of Representatives , according to the Rules and Limitations prescribed in the Case of a Bill .	him	59	the President of the United States	34
Every Order , Resolution , or Vote to which the Concurrence of the Senate and House of Representatives may be necessary -LRB- except on a question of Adjournment -RRB- shall be presented to the President of the United States ; and before the Same shall take Effect , shall be approved by him , or being disapproved by him , shall be repassed by two thirds of the Senate and House of Representatives , according to the Rules and Limitations prescribed in the Case of a Bill .	him	53	the President of the United States	34
President Bush told reporters a few months ago that he was looking for the right test case to see whether he already has the line-item veto .	he	21	Bush	2
President Bush told reporters a few months ago that he was looking for the right test case to see whether he already has the line-item veto .	he	10	Bush	2
The harder question is whether anyone yet understands that Mr. Bush 's fight for his constitutional prerogatives is about politics as much as it is about law .	his	15	Bush	11
Labeling an omnibus budget a `` bill '' ca n't deprive the President of his power to veto items .	his	15	the President	12
President Bush should take the Constitution in one hand and a budget ax in the other and get to work . He should chop out both unconstitutional provisions and budget pork .	He	1	Bush	2
President Bush has the power to change how Washington works , if only he will use it .	he	14	Bush	2
`` We were disappointed we could n't use wood , '' says architect Walter J. Richardson , `` but the Japanese only want stronger materials . '' At $ 1,000 per square foot , the Japanese want the feeling of indestructibility , he explains , not to mention protection from possible earthquake damage .	he	16	Walter J. Richardson	14
`` One of the difficulties people in real estate have is that each product is like starting a new company , or starting a new line in the fashion business , '' says L. Robert Lieb president of Mountain Development Corp. in West Paterson , N.J . `` It 'll never be like what Bristol-Myers does , '' he adds , `` but it helps establish recognition with the public -- and with banks . ''	he	12	L. Robert Lieb	34
`` One of the difficulties people in real estate have is that each product is like starting a new company , or starting a new line in the fashion business , '' says L. Robert Lieb president of Mountain Development Corp. in West Paterson , N.J . So he 's using `` river '' in many project names .	he	2	L. Robert Lieb	34
The leader in real estate brand names is developer Ara Hovnanian . His entry-price condos are labeled Society Hill .	His	1	Ara Hovnanian	10
Michael Hays , head of ProBody Fitness , notes an industry `` wash '' is in progress . He adds : `` The medical market and the fitness market parallel each other and are going to cross real soon . ''	He	1	Michael Hays	1
Michael Hays , head of ProBody Fitness , notes an industry `` wash '' is in progress . `` Clubs need to be run like restaurants where every square foot makes a dollar , '' he says .	he	18	Michael Hays	1
Mr. Hickey added that the stones found in Hong Kong are thought to carry double the U.S. radiation limit , although he noted that double or even triple the U.S. limit is `` still in the range of safe levels . ''	he	22	Hickey	2
DRACULA 'S BUSY this time of year , but a visit to his Transylvania castle is part of a Chicago-based Unitours trip in the spring , presumably the count 's off-season .	his	13	DRACULA	1
The issues are also thought to be important to the FCC 's new chairman , Alfred Sikes , a former AM broadcaster in his native Missouri .	his	24	Alfred Sikes	16
While Mr. Timbers explained he 's `` not totally convinced index arbitrage changes the overall level of the stock market , '' he said that `` on an intraday basis , it has major effects .	he	23	Timbers	3
While Mr. Timbers explained he 's `` not totally convinced index arbitrage changes the overall level of the stock market , '' he said that `` on an intraday basis , it has major effects .	he	5	Timbers	3
`` The New York Stock Exchange has vested interests '' in its big member securities firms `` that cloud its objectivity , '' Mr. Timbers said . The Big Board also has a terrible communication problem with individual investors , '' he added .	he	15	Timbers	25
Small investors perceive that `` big operators '' dominate the market , said Thomas O'Hara , chairman of the National Association of Investors and head of the exchange 's Individual Investors Advisory Committee set up after the 1987 crash . `` The impression I 've got is they 'd love to do away with it -LCB- program trading -RCB- , but they -LCB- the exchange -RCB- ca n't do it , '' he said .	he	33	Thomas O'Hara	14
Big Board Chairman John J. Phelan said in a recent interview that he has no inclination to eliminate program trading . He said the market 's volatility disturbs him , but that all the exchange can do is `` slow down the process '' by using its circuit breakers and shock absorbers .	him	8	John J. Phelan	4
Big Board Chairman John J. Phelan said in a recent interview that he has no inclination to eliminate program trading . He said the market 's volatility disturbs him , but that all the exchange can do is `` slow down the process '' by using its circuit breakers and shock absorbers .	He	1	John J. Phelan	4
Big Board Chairman John J. Phelan said in a recent interview that he has no inclination to eliminate program trading .	he	13	John J. Phelan	4
`` We continue to believe the position we 've taken is reasonable , '' a Morgan Stanley official said . `` We would stop index arbitrage when the market is under stress , and we have recently , '' he said , citing Oct. 13 and earlier this week .	he	20	Morgan Stanley official	16
According to Lawrence Eckenfelder , a securities industry analyst at Prudential-Bache Securities Inc. , `` Kemper is the first firm to make a major statement with program trading . '' He added that `` having just one firm do this is n't going to mean a hill of beans .	He	1	Lawrence Eckenfelder	3
At a time when Jon Levy should be planning the biggest spring season in his dress company 's 17 years , his work day is studded with intense moments of concern about one of his biggest customers , Campeau Corp .	his	35	Jon Levy	5
At a time when Jon Levy should be planning the biggest spring season in his dress company 's 17 years , his work day is studded with intense moments of concern about one of his biggest customers , Campeau Corp .	his	22	Jon Levy	5
At a time when Jon Levy should be planning the biggest spring season in his dress company 's 17 years , his work day is studded with intense moments of concern about one of his biggest customers , Campeau Corp .	his	15	Jon Levy	5
Every day , Mr. Levy checks orders from Campeau department store chains , trying to guess if he will be paid .	he	18	Levy	5
`` The few million dollars I could lose today is nothing against what I could lose on the spring line , '' says Mr. Levy , who estimates that Campeau stores will sell $ 25 million worth of his clothes this year .	his	39	Levy	25
Mr. Marmalstein adds that his company is now holding some goods in anticipation of being paid in full . `` It 's become a day-by-day business , '' he says .	he	10	Marmalstein	2
Mr. Marmalstein adds that his company is now holding some goods in anticipation of being paid in full .	his	5	Marmalstein	2
Bud Konheim , president of Nicole Miller Inc. , says his company is now shipping only to the flagship stores of the Federated and Allied chains . This limits his financial exposure , he says .	he	7	Bud Konheim	1
Bud Konheim , president of Nicole Miller Inc. , says his company is now shipping only to the flagship stores of the Federated and Allied chains . This limits his financial exposure , he says .	his	3	Bud Konheim	1
Bud Konheim , president of Nicole Miller Inc. , says his company is now shipping only to the flagship stores of the Federated and Allied chains .	his	11	Bud Konheim	1
Campeau 's Ms. Sanger disputes Mr. Konheim 's comments . `` Many of the branches are very lucrative , '' she says .	she	11	Sanger	4
As for Mr. Levy at St. Gillian , he says he will maintain his credit lines with the various Campeau stores unless they miss a payment . `` If they slip for 10 cents for 10 minutes , I 'll stop , '' he says .	he	17	Levy	4
As for Mr. Levy at St. Gillian , he says he will maintain his credit lines with the various Campeau stores unless they miss a payment .	his	14	Levy	4
As for Mr. Levy at St. Gillian , he says he will maintain his credit lines with the various Campeau stores unless they miss a payment .	he	11	Levy	4
As for Mr. Levy at St. Gillian , he says he will maintain his credit lines with the various Campeau stores unless they miss a payment .	he	9	Levy	4
`` It does n't bode well for coming quarters , '' said John Jacobson , who follows the steel industry for AUS Consultants . In fact , he thinks several steelmakers will report actual losses through the third quarter of 1990 .	he	4	John Jacobson	13
`` We anticipate that steel market conditions will exhibit a further moderate decline in the fourth quarter as the automotive sector remains weak and customers continue to adjust inventories , '' said Bethlehem Chairman Walter F. Williams . He noted , however , that the company 's order entry has increased from the low levels of the early summer , following the end of labor negotiations .	He	1	Walter F. Williams	35
Mr. Lortie joined Provigo in 1985 and spearheaded the company 's drive to grow outside its traditional food business . He could n't be reached for comment .	He	1	Lortie	2
`` The non-food operations were largely Mr. Lortie 's creation -LCB- and -RCB- his strategy did n't work , '' said Steven Holt , a financial analyst with Midland Doherty Ltd .	his	14	Lortie	8
Mr. Nadeau said he could n't yet say if the sale prices would match book values . He said all three non-food operations are profitable .	He	1	Nadeau	2
Mr. Nadeau said he could n't yet say if the sale prices would match book values .	he	4	Nadeau	2
Mr. Nadeau said discussions are under way with potential purchasers of each of the units . He declined to confirm or deny reports that Provigo executive Henri Roy is trying to put together a management buy-out of the catalogue showroom unit .	He	1	Nadeau	2
Mr. Nadeau said he intends to remain Provigo 's chief executive only until the non-food businesses are sold , after a which a new chief executive will be named .	he	4	Nadeau	2
In perhaps his most telling remark , Mr. Greenspan termed the current U.S. inflation rate of around 4.5 % as `` much too high to be ignored . ''	his	3	Greenspan	9
In perhaps his most telling remark , Mr. Greenspan termed the current U.S. inflation rate of around 4.5 % as `` much too high to be ignored . '' He added , however , that inflation could be brought down `` close to zero '' without throwing the economy into a recession .	He	1	Greenspan	9
But according to Doug Madison , a corporate trader with Bank of America in Los Angeles , a large number of short positions must first be corrected , spurring a temporary upswing , before the unit can turn lower . He predicts a downward move in dollar-mark trade and a less dramatic slip in dollar-yen , noting that there continues to be a large pool of Japanese investor interest in U.S. securities , which could provide a solid base for the dollar at around 140 yen .	He	1	Doug Madison	4
The pilots ' Mr. Dubinsky says his union would like majority ownership for employees .	his	7	Dubinsky	5
`` Who wants to be a public shareholder investing in a company controlled by the pilots ' union ? '' asks Candace Browning , an analyst at Wertheim Schroeder & Co . `` Who would the board be working for -- the public shareholders or the pilots ? '' she adds .	she	18	Candace Browning	22
Ms. Browning says she believes a recapitalization involving employee ownership would succeed only if the pilots relent on their demand for control . She also notes that even if the pilots accept a minority stake now , they still could come back at a later time and try to take control .	She	1	Browning	2
Ms. Browning says she believes a recapitalization involving employee ownership would succeed only if the pilots relent on their demand for control .	she	4	Browning	2
